"住所CD","都道府県CD","市区町村CD","町域CD","郵便番号","事業所フラグ","廃止フラグ","都道府県","都道府県カナ","市区町村","市区町村カナ","町域","町域カナ","町域補足","京都通り名","字丁目","字丁目カナ","補足","事業所名","事業所名カナ","事業所住所","新住所CD"
800000000,40,40101,401010000,"800-0000",0,0,"福岡県","フクオカケン","北九州市門司区","キタキュウシュウシモジク",,"　","（該当なし）",,,,,,,,
800004500,40,40101,401010001,"800-0045",0,0,"福岡県","フクオカケン","北九州市門司区","キタキュウシュウシモジク","青葉台","アオバダイ",,,,,,,,,
800010100,40,40101,401010002,"800-0101",0,0,"福岡県","フクオカケン","北九州市門司区","キタキュウシュウシモジク","伊川","イカワ",,,,,,,,,
800004100,40,40101,401010003,"800-0041",0,0,"福岡県","フクオカケン","北九州市門司区","キタキュウシュウシモジク","泉ケ丘","イズミガオカ",,,,,,,,,
800004800,40,40101,401010004,"800-0048",0,0,"福岡県","フクオカケン","北九州市門司区","キタキュウシュウシモジク","稲積","イナヅミ",,,,,,,,,
800011100,40,40101,401010005,"800-0111",0,0,"福岡県","フクオカケン","北九州市門司区","キタキュウシュウシモジク","今津","イマヅ",,,,,,,,,
800002600,40,40101,401010006,"800-0026",0,0,"福岡県","フクオカケン","北九州市門司区","キタキュウシュウシモジク","梅ノ木町","ウメノキチョウ",,,,,,,,,
801086400,40,40101,401010007,"801-0864",0,0,"福岡県","フクオカケン","北九州市門司区","キタキュウシュウシモジク","老松町","オイマツチョウ",,,,,,,,,
801088300,40,40101,401010008,"801-0883",0,0,"福岡県","フクオカケン","北九州市門司区","キタキュウシュウシモジク","大久保","オオクボ",,,,,,,,,
801081100,40,40101,401010009,"801-0811",0,0,"福岡県","フクオカケン","北九州市門司区","キタキュウシュウシモジク","大積","オオツミ",,,,,,,,,
800001100,40,40101,401010010,"800-0011",0,0,"福岡県","フクオカケン","北九州市門司区","キタキュウシュウシモジク","奥田","オクダ",,,,,,,,,
