登録番号	用途	農薬の種類	農薬の名称	略称	作物名	適用場所	適用病害虫雑草名	使用目的	希釈倍数使用量	散布液量	使用時期	本剤の使用回数	使用方法	くん蒸時間	くん蒸温度	適用土壌	適用地帯名	適用農薬名	混合数	有効成分①を含む農薬の総使用回数	有効成分②を含む農薬の総使用回数	有効成分③を含む農薬の総使用回数	有効成分④を含む農薬の総使用回数	有効成分⑤を含む農薬の総使用回数
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	果樹類(かんきつを除く)	-	一年生雑草		250～500mL/10a	通常散布50～100㍑/10a	収穫7日前まで(雑草生育期:草丈30cm以下)	3回以内	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	林木	林地	ｸｽﾞ･ﾌｼﾞ等のつる類		原液又は2倍液	つる径(cm) 使用量(mL/株) 2cm以下 0.5mL/株､2.1～3.0cm 1.0mL/株､3.1～4.0cm 1.5mL/株､4.1～5.0cm 2.0mL/株､5.1cm以上 適宜増量	生育初期	1回	つる注入処理						1	1回				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	果樹類(かんきつを除く)	-	多年生雑草		500～1000mL/10a	通常散布50～100㍑/10a	収穫7日前まで(雑草生育期:草丈30cm以下)	3回以内	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	林木	林地､放置竹林	竹類		原液	5～10mL/本	夏期	1回	竹稈注入処理						1	1回				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	かんきつ	-	一年生雑草		250～500mL/10a	通常散布50～100㍑/10a少量散布25～50㍑/10a	収穫7日前まで(雑草生育期:草丈30cm以下)	3回以内	雑草茎葉散布						1	5回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	かんきつ	-	多年生雑草		500～1000mL/10a	通常散布50～100㍑/10a少量散布25～50㍑/10a	収穫7日前まで(雑草生育期:草丈30cm以下)	3回以内	雑草茎葉散布						1	5回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	水田作物､畑作物(休耕田)	休耕田	一年生雑草		250～500mL/10a	50～100㍑/10a	雑草生育期(草丈30cm以下)	2回以内	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	水田作物､畑作物(休耕田)	休耕田	多年生雑草		500～1000mL/10a	50～100㍑/10a	雑草生育期(草丈30cm以下)	2回以内	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	水田作物(水田畦畔)	水田畦畔	一年生雑草		250～500mL/10a	50～100㍑/10a	収穫14日前まで(雑草生育期:草丈30cm以下)	2回以内	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	水田作物(水田畦畔)	水田畦畔	多年生雑草		500～1000mL/10a	50～100㍑/10a	収穫14日前まで(雑草生育期:草丈30cm以下)	2回以内	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	水田作物(水田刈跡)	水田刈跡	一年生雑草		250～500mL/10a	50～100㍑/10a	雑草生育期	1回	雑草茎葉散布						1	1回				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	水田作物(水田刈跡)	水田刈跡	多年生雑草		500～1000mL/10a	50～100㍑/10a	雑草生育期	1回	雑草茎葉散布						1	1回				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	水田作物(水稲を除く)	-	一年生雑草		250～500mL/10a	50～100㍑/10a	耕起20～10日前まで(雑草生育期)	1回	雑草茎葉散布						1	2回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	移植水稲	-	一年生雑草		250～500mL/10a	50～100㍑/10a	耕起20～10日前まで(雑草生育期)	1回	雑草茎葉散布						1	2回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	直播水稲	-	一年生雑草		250～500mL/10a	50～100㍑/10a	耕起20～10日前まで(雑草生育期)	1回	雑草茎葉散布						1	2回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	麦類(小麦を除く)	-	一年生雑草		250～500mL/10a	50～100㍑/10a	耕起7日前まで(雑草生育期:草丈30cm以下)	3回以内	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	小麦	-	一年生雑草		250～500mL/10a	50～100㍑/10a	耕起7日前まで(雑草生育期)	1回	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	小麦	-	多年生雑草		500～750mL/10a	50～100㍑/10a	耕起7日前まで(雑草生育期)	1回	雑草茎葉散布						1	3回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	雑穀類	-	一年生雑草		250～500mL/10a	50～100㍑/10a	耕起7日前まで(雑草生育期:草丈30cm以下)	1回	雑草茎葉散布						1	2回以内				
20997	除草剤	ｸﾞﾘﾎｻｰﾄｲｿﾌﾟﾛﾋﾟﾙｱﾐﾝ塩液剤	ｺﾝﾊﾟｶﾚｰﾙ液剤	ｼｰｽﾞ	野菜類(だいこん､えだまめ､ねぎ､たまねぎ､ﾄﾏﾄ､きゅうり､なす､ｱｽﾊﾟﾗｶﾞｽ､ｵﾘｰﾌﾞ(葉)､しゃくやく(薬用)､たらのき､びわ(葉)､ほうれんそう､ﾚﾀｽ､とうがらし類､にんじん､ﾋﾟｰﾏﾝ､薬用にんじんを除く)	-	一年生雑草		250～500mL/10a	100㍑/10a	耕起7日前まで(雑草生育期:草丈30cm以下)	1回	雑草茎葉散布						1	1回				
